class,auroc,auprc,precision,recall,f1,threshold,positives
Atelectasis,0.7369872092961761,0.2908532436606722,0.25146046994677396,0.5907288807563281,0.35275906028045895,0.6499999761581421,3279
Cardiomegaly,0.8729501551963715,0.3184865766447107,0.363244176013805,0.3938260056127222,0.3779174147217235,0.8999999761581421,1069
Effusion,0.800532689675187,0.465172802044081,0.4180215772678924,0.5905968226706741,0.48954533321469884,0.800000011920929,4658
Infiltration,0.6862482009671514,0.38226020686587786,0.32623655913978494,0.7446007853403142,0.45369354999501543,0.550000011920929,6112
Mass,0.7701250991212846,0.23936518122877673,0.27493138151875574,0.3438215102974828,0.30554143365531267,0.8500000238418579,1748
Nodule,0.6960599595267617,0.1545783432090699,0.13934588701684836,0.4331484904497844,0.21085782843431314,0.6499999761581421,1623
Pneumonia,0.6834299856343704,0.044247722488840124,0.060362173038229376,0.05405405405405406,0.057034220532319393,0.8999999761581421,555
Pneumothorax,0.8130579437144945,0.33342296664196563,0.3444963655244029,0.4979362101313321,0.40724259628663495,0.800000011920929,2665
Consolidation,0.7298295755008715,0.1460270041505211,0.15678903140203448,0.390633608815427,0.2237651885750355,0.800000011920929,1815
