class,auroc,auprc,precision,recall,f1,threshold,positives
Atelectasis,0.7647313667409779,0.33006866292395015,0.3154679802955665,0.488258615431534,0.38328944218338523,0.699999988079071,3279
Cardiomegaly,0.8871298475100253,0.33841862265688893,0.42536475869809204,0.3545369504209542,0.386734693877551,0.949999988079071,1069
Effusion,0.8253076945034843,0.5034338079554218,0.4543616855854455,0.6273078574495492,0.5270087474073406,0.800000011920929,4658
Infiltration,0.6980503779245368,0.39511810665564934,0.328921568627451,0.7684882198952879,0.4606708513142409,0.550000011920929,6112
Mass,0.8194560976190165,0.30914848792160093,0.3356643356643357,0.43935926773455375,0.38057482656095143,0.8500000238418579,1748
Nodule,0.7547240774234127,0.22312493376673004,0.23311206559937525,0.3678373382624769,0.2853728489483748,0.75,1623
Pneumonia,0.7052027467745691,0.048176351629311324,0.06243386243386243,0.1063063063063063,0.07866666666666666,0.8999999761581421,555
Pneumothorax,0.8424702118428047,0.3890731944358209,0.3953672018952356,0.5636022514071295,0.46472772277227725,0.800000011920929,2665
Consolidation,0.7466928769095127,0.1609204878367185,0.1386877576027626,0.6859504132231405,0.23072646404744254,0.699999988079071,1815
